0 of 10008 tasks cached; running 10008 on 12 workers
  977/10008 tasks, 378.2 min elapsed
  982/10008 tasks, 378.8 min elapsed
  998/10008 tasks, 379.3 min elapsed
  1017/10008 tasks, 380.8 min elapsed
  1029/10008 tasks, 382.0 min elapsed
  1037/10008 tasks, 382.8 min elapsed
  1041/10008 tasks, 383.7 min elapsed
  1049/10008 tasks, 384.5 min elapsed
  1053/10008 tasks, 385.1 min elapsed
  1061/10008 tasks, 385.7 min elapsed
  1065/10008 tasks, 386.4 min elapsed
  1073/10008 tasks, 387.0 min elapsed
  1077/10008 tasks, 388.9 min elapsed
  1085/10008 tasks, 389.5 min elapsed
  1089/10008 tasks, 390.5 min elapsed
  1093/10008 tasks, 391.5 min elapsed
  1103/10008 tasks, 392.1 min elapsed
  1105/10008 tasks, 392.9 min elapsed
  1115/10008 tasks, 393.4 min elapsed
  1117/10008 tasks, 394.2 min elapsed
  1127/10008 tasks, 394.7 min elapsed
  1129/10008 tasks, 395.6 min elapsed
  1139/10008 tasks, 396.1 min elapsed
  1141/10008 tasks, 397.0 min elapsed
  1152/10008 tasks, 397.5 min elapsed
  1153/10008 tasks, 398.0 min elapsed
  1157/10008 tasks, 399.0 min elapsed
  1165/10008 tasks, 400.0 min elapsed
  1169/10008 tasks, 401.0 min elapsed
  1181/10008 tasks, 402.3 min elapsed
  1193/10008 tasks, 403.4 min elapsed
  1203/10008 tasks, 404.0 min elapsed
  1205/10008 tasks, 404.7 min elapsed
  1215/10008 tasks, 405.4 min elapsed
  1217/10008 tasks, 406.1 min elapsed
  1226/10008 tasks, 406.6 min elapsed
  1229/10008 tasks, 407.2 min elapsed
  1237/10008 tasks, 408.1 min elapsed
  1241/10008 tasks, 408.8 min elapsed
  1249/10008 tasks, 409.6 min elapsed
  1253/10008 tasks, 410.2 min elapsed
  1261/10008 tasks, 411.1 min elapsed
  1265/10008 tasks, 411.7 min elapsed
  1273/10008 tasks, 412.3 min elapsed
  1277/10008 tasks, 413.1 min elapsed
  1285/10008 tasks, 413.7 min elapsed
  1289/10008 tasks, 414.6 min elapsed
  1299/10008 tasks, 415.2 min elapsed
  1301/10008 tasks, 416.0 min elapsed
  1313/10008 tasks, 417.2 min elapsed
  1317/10008 tasks, 417.8 min elapsed
  1325/10008 tasks, 418.9 min elapsed
  1329/10008 tasks, 419.5 min elapsed
  1337/10008 tasks, 420.4 min elapsed
  1341/10008 tasks, 420.9 min elapsed
  1349/10008 tasks, 421.6 min elapsed
  1355/10008 tasks, 422.1 min elapsed
  1361/10008 tasks, 422.8 min elapsed
  1367/10008 tasks, 423.3 min elapsed
  1373/10008 tasks, 424.0 min elapsed
  1377/10008 tasks, 424.6 min elapsed
  1385/10008 tasks, 425.3 min elapsed
  1389/10008 tasks, 425.9 min elapsed
  1397/10008 tasks, 426.7 min elapsed
  1401/10008 tasks, 427.2 min elapsed
  1409/10008 tasks, 428.0 min elapsed
  1413/10008 tasks, 428.6 min elapsed
  1421/10008 tasks, 429.5 min elapsed
  1427/10008 tasks, 430.1 min elapsed
  1433/10008 tasks, 430.7 min elapsed
  1439/10008 tasks, 431.3 min elapsed
  1445/10008 tasks, 431.9 min elapsed
  1451/10008 tasks, 432.4 min elapsed
  1457/10008 tasks, 433.2 min elapsed
  1461/10008 tasks, 433.8 min elapsed
  1469/10008 tasks, 434.5 min elapsed
  1473/10008 tasks, 435.0 min elapsed
  1481/10008 tasks, 435.8 min elapsed
  1485/10008 tasks, 436.3 min elapsed
  1493/10008 tasks, 437.2 min elapsed
  1497/10008 tasks, 438.0 min elapsed
  1499/10008 tasks, 438.6 min elapsed
  1501/10008 tasks, 440.1 min elapsed
  1503/10008 tasks, 440.7 min elapsed
  1505/10008 tasks, 441.6 min elapsed
  1509/10008 tasks, 442.3 min elapsed
  1511/10008 tasks, 443.0 min elapsed
  1513/10008 tasks, 444.5 min elapsed
  1516/10008 tasks, 445.2 min elapsed
  1517/10008 tasks, 445.8 min elapsed
  1520/10008 tasks, 446.5 min elapsed
  1522/10008 tasks, 447.1 min elapsed
  1525/10008 tasks, 448.9 min elapsed
  1527/10008 tasks, 449.4 min elapsed
  1529/10008 tasks, 450.3 min elapsed
  1532/10008 tasks, 450.9 min elapsed
  1534/10008 tasks, 451.5 min elapsed
  1536/10008 tasks, 452.1 min elapsed
